#BBN prediction of the primordial Helium abundance $Y_p$ as 
#function of the baryon density $\omega_b h^2$ and number of 
#extra radiation degrees of freedom $\Delta N$.
#Calculated with AlterBBN v1.4 [http://superiso.in2p3.fr/relic/alterbbn/] for a 
#neutron lifetime of 880.1 s and CMB temperature 2.7255 K
#Yp^BBN is the BBN-standard nucleon number fraction, Yp is the mass fraction for CMB codes

#      ombh2        eta10       DeltaN           Yp       Yp^BBN     sigma_Yp          D/H     err D/H       He3/H    err He3/H         Li7      sig Li7
 
     0.02050      5.61174     -0.50000      0.23720      0.23850      0.00011    2.742e-05     4.99e-07   1.050e-05     4.55e-07   4.001e-10     2.85e-11
     0.02075      5.68018     -0.50000      0.23732      0.23861      0.00011    2.690e-05     4.91e-07   1.042e-05     4.54e-07   4.104e-10     2.93e-11
     0.02100      5.74862     -0.50000      0.23743      0.23873      0.00011    2.638e-05     4.91e-07   1.035e-05     4.52e-07   4.209e-10     3.02e-11
     0.02125      5.81707     -0.50000      0.23755      0.23885      0.00011    2.589e-05     4.90e-07   1.027e-05     4.52e-07   4.314e-10     3.09e-11
     0.02150      5.88551     -0.50000      0.23766      0.23896      0.00011    2.540e-05     4.71e-07   1.020e-05     4.51e-07   4.419e-10     3.16e-11
     0.02175      5.95395     -0.50000      0.23777      0.23907      0.00011    2.493e-05     4.57e-07   1.013e-05     4.48e-07   4.526e-10     3.23e-11
     0.02200      6.02239     -0.50000      0.23788      0.23918      0.00011    2.447e-05     4.34e-07   1.006e-05     4.47e-07   4.633e-10     3.32e-11
     0.02225      6.09083     -0.50000      0.23799      0.23929      0.00011    2.403e-05     4.24e-07   9.995e-06     4.46e-07   4.741e-10     3.40e-11
     0.02250      6.15927     -0.50000      0.23810      0.23940      0.00011    2.360e-05     4.15e-07   9.930e-06     4.44e-07   4.850e-10     3.47e-11
     0.02275      6.22771     -0.50000      0.23820      0.23950      0.00011    2.317e-05     4.09e-07   9.866e-06     4.42e-07   4.959e-10     3.55e-11
     0.02300      6.29615     -0.50000      0.23831      0.23961      0.00011    2.276e-05     4.19e-07   9.803e-06     4.44e-07   5.069e-10     3.63e-11
     0.02325      6.36459     -0.50000      0.23841      0.23971      0.00011    2.236e-05     4.27e-07   9.741e-06     4.42e-07   5.180e-10     3.71e-11
     0.02350      6.43303     -0.50000      0.23851      0.23981      0.00011    2.197e-05     4.18e-07   9.681e-06     4.42e-07   5.291e-10     3.79e-11
     0.02375      6.50148     -0.50000      0.23861      0.23991      0.00011    2.159e-05     4.06e-07   9.622e-06     4.38e-07   5.403e-10     3.87e-11
